"ID","pH","CE","MO","N","P","K","Ca","Mg","Al","CICe","BT","SAl","Arena","Limo","Arcilla","S2_01_B1","S2_02_B2","S2_03_B3","S2_04_B4","S2_05_B5","S2_06_B6","S2_07_B7","S2_08_B8","S2_09_B9","S2_10_B11","S2_11_B12","S2_12_NGRDI","S2_13_ExG","S2_14_ExR","S2_15_ExB","S2_16_IKAW","S2_17_GRRI","S2_18_ExGR","S2_19_GBDI","S2_20_MGRVI","S2_21_RGBVI","S2_22_VDVI","S2_23_VARI","S2_24_RGRI","S2_25_NGBDI","S2_26_CIVE","S2_27_NDVI","S2_28_EVI","S2_29_SAVI","S2_30_MSAVI","S2_31_NDWI","S2_32_GNDVI","S2_33_OSAVI","S2_34_ARVI","S2_35_SIPI","S2_36_CGI","S2_37_RVI","S2_38_CVI","S2_39_CCCI","S2_40_RECI","S2_41_SVI","S2_42_SSI","S2_43_SCI","S2_44_SMI","S2_45_MDE","S2_46_slope","S2_47_aspect","S2_48_TPI","S2_49_TRI","S2_50_flowdir","S2_51__ACP_1","S2_52__ACP_2","S2_53__ACP_3","coords.x1","coords.x2","optional"
1,"4.32","1.2","1.48","0.07","27.91","0.21","0.26","0.02","1.9","2.38","0.48","79.69","62.9","16.16","20.94",0.028999999165535,0.0308999996632338,0.0500000007450581,0.0322999991476536,0.0885000005364418,0.275400012731552,0.354900002479553,0.338499993085861,0.372399985790253,0.215900003910065,0.09740000218153,0.215066835284233,0.0368000008165836,-0.0047800000756979,-0.00674000009894371,0.0221518985927105,1.54798758029938,0.0415799990296364,0.0190999992191792,558.506286621094,0.429359614849091,0.22549019753933,0.344357967376709,0.646000027656555,0.236093938350677,18.7690505981445,0.825782120227814,0.43394461274147,0.527446031570435,0.537365078926086,-0.742599725723267,0.742599725723267,0.576865136623383,0.702304124832153,1.00457215309143,5.76999998092651,10.4798765182495,4.37341976165771,0.823565304279327,9.47987651824951,4.11300134658813,9.47987651824951,33.9139633178711,3.23726367950439,217.580810546875,4.05889225006104,0,0.217801675200462,0.532198309898376,64,-0.188555151224136,0.00477562891319394,-0.00733668264001608,512538,9056311,TRUE
2,"5","0.13","2.29","0.11","2.28","0.18","1.67","0.83","1.1","3.77","2.67","29.14","54.9","20.16","24.94",0.0381000004708767,0.0522999987006187,0.0614000000059605,0.0781999975442886,0.0910999998450279,0.104400001466274,0.123099997639656,0.12559999525547,0.162100002169609,0.241999998688698,0.222299993038177,-0.120343841612339,-0.00769999995827675,0.048080001026392,0.0118199996650219,0.198467433452606,0.785166263580322,-0.0557800009846687,0.00910000037401915,-101.728927612305,-0.0407006777822971,-0.0303987357765436,-0.192439869046211,1.27361559867859,0.0800351798534393,18.7874794006348,0.232580959796906,0.0596361458301544,0.101023018360138,0.0810126736760139,-0.34331551194191,0.34331551194191,0.130291372537613,0.0643134936690331,1.54641354084015,1.04560256004333,1.60613811016083,2.60531139373779,0.228005349636078,0.606138110160828,0.899713456630707,0.606138110160828,20.7495079040527,1.26733505725861,219.303283691406,2.12986183166504,313.403076171875,0.0404095239937305,0.338693052530289,16,0.198602721095085,-0.198087066411972,0.0090155890211463,512126,9057087,TRUE
3,"4.58","0.16","1.61","0.08","3.68","0.16","0.17","0.04","2.1","2.47","0.37","85.09","62.9","16.16","20.94",0.0286999996751547,0.0434000007808208,0.0700000002980232,0.063400000333786,0.117499999701977,0.255899995565414,0.313400000333786,0.297100007534027,0.328099995851517,0.288100004196167,0.163699999451637,0.0494752638041973,0.0331999994814396,0.0187599994242191,-0.00923999957740307,0.187265917658806,1.10410094261169,0.0144400000572205,0.0265999995172024,44.7018165588379,0.280784577131271,0.134521886706352,0.0733333304524422,0.905714273452759,0.234567895531654,18.7699432373047,0.648266315460205,0.291687458753586,0.407379418611526,0.387260496616364,-0.61863249540329,0.61863249540329,0.448991358280182,0.457307934761047,1.08557975292206,3.24428582191467,4.68612003326416,3.84411025047302,0.643355786800385,3.68611979484558,2.2271363735199,3.68611979484558,19.1387405395508,2.16474485397339,215.580810546875,4.72032260894775,16.8183059692383,-0.336382389068604,0.652529716491699,64,-0.0610787346959114,0.0347718857228756,-0.0159249603748322,512766,9056489,TRUE
4,"4.55","0.1","2.15","0.11","2.92","0.12","1.48","0.39","3.1","5.08","1.98","60.97","36.9","32.16","30.94",0.045099999755621,0.0608000010251999,0.0877000018954277,0.105800002813339,0.154899999499321,0.227799996733665,0.267800003290176,0.280099987983704,0.31029999256134,0.384299993515015,0.264499992132187,-0.0935400500893593,0.00879999995231628,0.060419999063015,-0.00258000008761883,0.270108044147491,0.828922510147095,-0.0516199991106987,0.0269000008702278,-40.6807556152344,0.0891147181391716,0.0257309935986996,-0.136397883296013,1.20638537406921,0.181144773960114,18.7797317504883,0.451671421527863,0.183790966868401,0.295123606920242,0.27024120092392,-0.523110389709473,0.523110389709473,0.319289237260818,0.234027147293091,1.25817561149597,2.19384264945984,2.64744806289673,3.85300517082214,0.444265872240067,1.64744806289673,1.447545170784,1.64744806289673,13.0219497680664,1.62709808349609,237,1.20073091983795,360,0.157198324799538,0.157198324799538,64,0.0825920403003693,0.108550019562244,-0.0353390499949455,513263,9055598,TRUE
5,"4.71","0.35","2.42","0.12","2.41","0.15","1.67","0.69","3.4","5.91","2.51","57.5","44.9","20.16","34.94",0.0263000000268221,0.0306000001728535,0.0520999990403652,0.0284000001847744,0.0980999991297722,0.281699985265732,0.357899993658066,0.356599986553192,0.367599993944168,0.257600009441376,0.141699999570847,0.294409930706024,0.0452000014483929,-0.0123399998992682,-0.00925999972969294,-0.037288136780262,1.83450698852539,0.0575399994850159,0.0215000007301569,871.42919921875,0.514970183372498,0.276960790157318,0.474949896335602,0.545105576515198,0.2599758207798,18.7653636932373,0.85246753692627,0.467122107744217,0.556271195411682,0.578456938266754,-0.745045244693756,0.745045244693756,0.602201819419861,0.744144141674042,0.99329674243927,5.84452962875366,12.5563383102417,3.73099136352539,0.850547611713409,11.5563383102417,4.42981386184692,11.5563383102417,38.0155296325684,3.54349231719971,217.781112670898,4.33792495727539,68.2913589477539,0.0654472410678864,0.592633724212646,128,-0.159046575427055,0.0505005717277527,-0.0334089398384094,512480,9056451,TRUE
6,"5.21","0.17","1.61","0.08","4.57","0.14","1.19","0.37","0.4","2.1","1.7","19.07","66.9","14.16","18.94",0.0281000006943941,0.0417999997735023,0.0738999992609024,0.0494000017642975,0.114500001072884,0.290100008249283,0.358300000429153,0.348600000143051,0.380800008773804,0.224000006914139,0.109499998390675,0.198702350258827,0.0566000007092953,-0.00473999977111816,-0.0153799997642636,0.0833333358168602,1.49595141410828,0.0613400004804134,0.0320999994874001,226.666000366211,0.451266467571259,0.236820086836815,0.30061349272728,0.668470919132233,0.277441650629044,18.7597141265869,0.751758813858032,0.381924957036972,0.499777287244797,0.499713242053986,-0.650177538394928,0.650177538394928,0.536200702190399,0.596075236797333,1.02540111541748,3.71718549728394,7.05668020248413,3.15330123901367,0.747878611087799,6.05668020248413,2.82725071907043,6.05668020248413,23.1115322113037,2.65644121170044,228.941375732422,5.68257474899292,209.310699462891,-0.0309309586882591,0.777361750602722,8,-0.181363314390182,0.0418647490441799,0.016451183706522,513006,9056074,TRUE
7,"4.66","0.06","1.75","0.09","1.65","0.16","0.82","0.23","3.8","5","1.2","76.05","45.77","23.66","30.58",0.0357999987900257,0.0406000018119812,0.0621999986469746,0.0447000004351139,0.10639999806881,0.286900013685226,0.346500009298325,0.343699991703033,0.370400011539459,0.271100014448166,0.157199993729591,0.163704395294189,0.0390999987721443,0.000380000012228265,-0.00535999983549118,0.0480656512081623,1.3914989233017,0.0387200005352497,0.0216000005602837,242.002548217773,0.361390382051468,0.186456844210625,0.263951748609543,0.718649506568909,0.210116729140282,18.7674961090088,0.769824922084808,0.390054255723953,0.504840135574341,0.506313443183899,-0.693520545959473,0.693520545959473,0.545222461223602,0.622545897960663,1.01371240615845,4.52572345733643,7.68903779983521,3.97105860710144,0.76624459028244,6.68903779983521,3.21515440940857,6.68903779983521,25.2808780670166,2.7729115486145,233.580810546875,3.46195316314697,332.768493652344,0.201877161860466,0.48729544878006,32,-0.131713092327118,0.0667763128876686,-0.0226551871746778,513216,9055683,TRUE
8,"5.36","0.18","0.94","0.05","1.14","0.07","1.66","0.2","0.2","2.13","1.93","9.39","67.77","13.66","18.58",0.034000001847744,0.043699998408556,0.0734999999403954,0.0593999996781349,0.133900001645088,0.252000004053116,0.298599988222122,0.304399996995926,0.287900000810623,0.287299990653992,0.168799996376038,0.106094807386398,0.0439000017940998,0.00965999998152256,-0.0123199997469783,0.15227934718132,1.23737370967865,0.0342399999499321,0.0297999996691942,98.3097381591797,0.350895166397095,0.175529792904854,0.158071741461754,0.808163285255432,0.254266202449799,18.7652072906494,0.673446953296661,0.308013379573822,0.425445705652237,0.408092856407166,-0.61100822687149,0.61100822687149,0.467735767364502,0.491111576557159,1.06408166885376,3.1414966583252,5.12457895278931,3.34700536727905,0.66867583990097,4.12457895278931,2.29044389724731,4.12457895278931,20.1201686859131,2.26375341415405,221.277526855469,2.00857186317444,19.8207302093506,-0.367678701877594,0.437059313058853,64,-0.0379728898406029,0.0236847028136253,-0.00701724970713258,512792,9056269,TRUE
9,"4.89","0.15","1.48","0.07","1.52","0.08","0.54","0.11","0.7","1.43","0.73","49.02","57.77","21.66","20.58",0.0295000001788139,0.0447999984025955,0.0709000006318092,0.0494000017642975,0.102300003170967,0.302899986505508,0.38280001282692,0.361999988555908,0.391600012779236,0.212999999523163,0.104800000786781,0.178719863295555,0.0476000010967255,-0.00173999997787178,-0.00817999988794327,0.0488322712481022,1.43522262573242,0.0493399985134602,0.0261000003665686,210.84228515625,0.388634979724884,0.201694920659065,0.284768223762512,0.69675600528717,0.225583404302597,18.7635135650635,0.759844422340393,0.391847163438797,0.514483213424683,0.518715858459473,-0.67244166135788,0.67244166135788,0.547077357769012,0.609177231788635,1.01471531391144,4.10578298568726,7.32793521881104,3.5574848651886,0.755778729915619,6.32793521881104,3.0091438293457,6.32793521881104,23.0053462982178,2.70701599121094,226,5.08888754974322e-14,90,0,0,128,-0.211463391780853,0.0520093590021133,0.0201347079128027,512919,9056237,TRUE
10,"4.57","0.13","2.02","0.1","10.15","0.14","0.45","0.1","3.1","3.79","0.69","81.88","51.77","17.66","30.58",0.0472999997437,0.0527000017464161,0.0816999971866608,0.0763000026345253,0.136500000953674,0.265500009059906,0.318199992179871,0.315600007772446,0.337900012731552,0.330900013446808,0.206599995493889,0.0341772139072418,0.034400001168251,0.0251199994236231,-0.00791999977082014,0.182945743203163,1.07077324390411,0.0092799998819828,0.028999999165535,21.9562244415283,0.248121246695518,0.117647059261799,0.0512820519506931,0.933904528617859,0.215773805975914,18.7688941955566,0.610614955425262,0.275862872600555,0.402455419301987,0.383623898029327,-0.58872389793396,0.58872389793396,0.433593034744263,0.414090991020203,1.09862101078033,2.86291313171387,4.13630390167236,3.60759210586548,0.604413509368896,3.13630414009094,1.99746835231781,3.13630414009094,16.2747268676758,2.03379058837891,221,5.08888754974322e-14,90,0,0,128,-0.0304358154535294,0.0983996838331223,-0.0221577305346727,512195,9056805,TRUE
