"","Estimate","Std..Error","t.value","Pr...t.."
"S2_01_B1()",134.982633967538,53.2062455732576,2.53696972062586,0.0143483069020561
"S2_02_B2",453.58905233313,162.298274670015,2.79478665596026,0.00734612603499087
"S2_05_B5",195.736772451486,54.5386510638326,3.58895514710097,0.000754929935396705
"S2_11_B12",134.599193046341,47.188342856648,2.85238228126034,0.00629406990926563
"S2_26_CIVE",-4.25042100930666,1.27140992414043,-3.3430767910517,0.00157557935693934
"S2_14_ExR",203.136013579609,47.4814000930856,4.27822290794643,8.49169308311312e-05
"S2_15_ExB",-333.448429196343,106.355593527791,-3.13522230600134,0.00287373928931752
"S2_51__ACP_1",-178.656815812039,50.1070219109179,-3.5655045739829,0.000810695982353951
"S2_52__ACP_2",-199.413557790833,54.6870919445836,-3.64644655073095,0.000633314211833629
"S2_53__ACP_3",-260.072942127353,73.3540038720832,-3.54544985139292,0.000861489421563799
