"","Estimate","Std..Error","t.value","Pr...t.."
"S2_04_B4()",2064.20199848158,713.678978104625,2.89233963982469,0.00564821941155691
"S2_05_B5",498.047127051589,189.108798611769,2.63365391091112,0.0112117948213673
"S2_26_CIVE",-10.9902388588538,3.6759927988234,-2.98973351154863,0.00432303895635336
"S2_14_ExR",-928.561855114025,437.94698580999,-2.12026086535711,0.0389684971935872
"S2_15_ExB",925.04898949097,376.56364364073,2.45655417115502,0.0175429512668768
"S2_30_MSAVI",139.795388535453,53.2606173058809,2.6247421754914,0.0114721955728999
"S2_50_flowdir",-0.0452290040197687,0.0223766898853618,-2.0212553443553,0.0486231762647054
"S2_51__ACP_1",-239.628473985378,84.6709867249374,-2.83011316218431,0.00668309065746358
"S2_52__ACP_2",-481.132202410256,152.700556586262,-3.15082153704174,0.00274894010223784
"S2_53__ACP_3",-796.594178447627,288.322643654141,-2.76285680636026,0.0079971901689169
