"","Estimate","Std..Error","t.value","Pr...t.."
"S2_01_B1()",80.6116495864994,24.0064901818612,3.3579106723151,0.00160603489137309
"S2_02_B2",63953234.8240042,17413505.642743,3.67262262614285,0.000635229516046345
"S2_04_B4",-63952677.3115564,17413497.3941726,-3.67259234971133,0.000635287322519115
"S2_05_B5",235.091314630123,61.389008861437,3.82953429270629,0.000394714446624805
"S2_06_B6",37.5651808746431,8.98587378380937,4.18047056729503,0.000132423267926348
"S2_10_B11",444.598595361563,123.964134877838,3.58650988690962,0.000821784425053849
"S2_11_B12",466.360706518962,125.99370108366,3.70146048975335,0.000582405815273523
"S2_26_CIVE",-15.3825240369954,4.14107848419554,-3.71461784549676,0.000559733087873886
"S2_14_ExR",45680664.6912351,12438216.179222,3.67260578470604,0.000635261670600891
"S2_15_ExB",-45680786.7824324,12438217.726755,-3.67261514358054,0.000635243801953679
"S2_16_IKAW",3.40182260124898,0.993017062379231,3.42574436042252,0.00131925648755403
"S2_45_MDE",0.0337772720555678,0.00634033309278441,5.32736554393456,3.07078222976115e-06
"S2_48_TPI",-0.587236565052967,0.201502720482122,-2.91428603865956,0.00553644204654051
"S2_51__ACP_1",-505.796409452606,138.610013882015,-3.64906109801806,0.000681777510512347
"S2_52__ACP_2",-567.613196892985,154.042713843979,-3.68477796014348,0.000612425390014353
