ID;ESTE;NORTE;pH;CE;MO;N;P;K;Ca;Mg;Al;CICe;BT;SAl;Arena;Limo;Arcilla
1;512538;9056311;4.32;1.2;1.48;0.07;27.91;0.21;0.26;0.02;1.9;2.38;0.48;79.69;62.9;16.16;20.94
2;512126;9057087;5;0.13;2.29;0.11;2.28;0.18;1.67;0.83;1.1;3.77;2.67;29.14;54.9;20.16;24.94
3;512766;9056489;4.58;0.16;1.61;0.08;3.68;0.16;0.17;0.04;2.1;2.47;0.37;85.09;62.9;16.16;20.94
4;513263;9055598;4.55;0.1;2.15;0.11;2.92;0.12;1.48;0.39;3.1;5.08;1.98;60.97;36.9;32.16;30.94
5;512480;9056451;4.71;0.35;2.42;0.12;2.41;0.15;1.67;0.69;3.4;5.91;2.51;57.5;44.9;20.16;34.94
6;513006;9056074;5.21;0.17;1.61;0.08;4.57;0.14;1.19;0.37;0.4;2.1;1.7;19.07;66.9;14.16;18.94
7;513216;9055683;4.66;0.06;1.75;0.09;1.65;0.16;0.82;0.23;3.8;5;1.2;76.05;45.77;23.66;30.58
8;512792;9056269;5.36;0.18;0.94;0.05;1.14;0.07;1.66;0.2;0.2;2.13;1.93;9.39;67.77;13.66;18.58
9;512919;9056237;4.89;0.15;1.48;0.07;1.52;0.08;0.54;0.11;0.7;1.43;0.73;49.02;57.77;21.66;20.58
10;512195;9056805;4.57;0.13;2.02;0.1;10.15;0.14;0.45;0.1;3.1;3.79;0.69;81.88;51.77;17.66;30.58
11;513194;9055999;5.18;0.11;2.29;0.11;1.01;0.06;1.1;0.13;0.7;1.99;1.29;35.22;61.77;17.66;20.58
12;511953;9056986;4.61;0.18;1.34;0.07;1.9;0.22;0.45;0.24;4.2;5.11;0.91;82.2;43.77;23.66;32.58
13;512581;9056579;4.24;0.11;2.02;0.1;2.03;0.13;0.17;0.21;6.8;7.31;0.51;93.03;15.77;43.73;40.5
14;513150;9055818;4.81;0.09;2.29;0.11;2.41;0.35;0.91;0.4;2.4;4.05;1.65;59.24;55.77;15.73;28.5
15;512264;9056605;4.5;0.12;1.34;0.07;4.69;0.09;1.1;0.13;3.9;5.21;1.31;74.86;41.77;27.73;30.5
16;512325;9056816;4.93;0.22;1.88;0.09;23.09;0.31;3.05;1.08;1.4;5.84;4.44;23.98;45.77;23.73;30.5
17;512396;9056711;4.37;0.61;1.88;0.09;28.92;0.14;1.19;0.19;5.2;6.72;1.52;77.41;49.77;15.73;34.5
18;512135;9056902;4.7;0.17;2.15;0.11;5.96;0.2;0.91;0.22;2.3;3.62;1.32;63.55;55.77;17.73;26.5
19;512089;9056991;4.8;0.1;2.29;0.11;4.19;0.14;1.57;0.46;2.1;4.27;2.17;49.19;49.91;19.58;30.5
20;512998;9055943;5.29;0.05;1.75;0.09;1.4;0.17;2.55;0.59;0.6;3.92;3.32;15.32;41.91;33.58;24.5
21;512572;9056671;4.72;0.18;1.61;0.08;0.89;0.16;0.91;0.25;4.5;5.82;1.32;77.33;23.91;33.58;42.5
22;512821;9056154;5.22;0.08;1.61;0.08;1.65;0.19;3.46;0.46;0.3;4.41;4.11;6.8;45.91;29.58;24.5
23;512439;9056834;4.6;0.1;2.02;0.1;4.06;0.14;0.82;0.07;3.1;4.12;1.02;75.29;57.91;13.58;28.5
24;512309;9056967;4.84;0.04;1.75;0.09;2.16;0.21;1.38;0.4;2.3;4.29;1.99;53.58;43.91;25.58;30.5
25;512640;9056425;5.21;0.1;1.61;0.08;1.14;0.26;0.72;0.23;0.4;1.62;1.22;24.73;66.13;15.15;18.72
26;512427;9056601;4.79;0.13;2.42;0.12;2.54;0.25;1.67;0.59;1.2;3.71;2.51;32.36;58.13;15.15;26.72
