Arbol;Este;Norte;DAP_cm;Altura_T;Altura_C
1;494028.546;9023749.586;7.862235803;8.23;4.24
2;494033.087;9023749.028;4.647313471;5.67;3.79
3;494042.399;9023748.94;5.634071811;6.94;2.7
4;494047.1;9023749.095;6.970970206;7.81;4.47
5;494056.927;9023749.512;8.498854087;9.77;5.05
6;494061.721;9023749.738;9.549274255;9.41;4.61
7;494066.296;9023749.981;5.029284441;5.28;2.95
8;494084.429;9023752.009;8.116883117;10.3;7.42
9;494088.154;9023748.73;9.994907054;12.52;7.9
10;494083.722;9023748.526;8.498854087;9.12;5.04
11;494074.544;9023745.746;6.684491979;8.05;4.81
12;494057.074;9023744.883;12.47771836;11.87;4.98
13;494052.245;9023744.693;9.931245225;10.06;5.36
14;494042.103;9023744.186;8.721670486;8.94;3.17
15;494037.818;9023743.988;8.116883117;7.8;4.75
16;494023.25;9023740.356;14.89686784;12.9;6.75
17;494027.923;9023739.926;9.931245225;10.64;4.78
18;494037.662;9023739.302;9.644766998;8.64;2.23
19;494046.976;9023740.149;5.092946269;4.59;2.52
20;494056.692;9023740.998;11.39546728;12.45;6.94
21;494052.449;9023735.535;9.135472371;8.62;3.47
22;494037.342;9023734.659;7.193786606;6.05;4.02
23;494027.435;9023734.952;10.34504711;10.97;6.05
24;494022.783;9023735.388;14.64222052;14.55;5.45
25;494027.24;9023730.137;10.82251082;11.72;4.97
26;494031.908;9023729.733;14.32391138;13.82;6.21
27;494047.523;9023730.177;9.994907054;10.12;4.97
28;494052.687;9023725.596;17.5070028;13.78;4.74
29;494048.119;9023725.525;9.071810542;10.56;5.7
30;494042.36;9023725.081;10.66335625;11.68;6.08
31;494037.759;9023724.853;12.89152024;12.63;5.73
32;494027.2;9023724.422;15.43799338;14.49;7.8
33;494022.112;9023725.368;12.73236567;13.58;6.76
34;494021.853;9023720.294;14.19658773;14.97;8
35;494026.808;9023719.932;14.8013751;15.53;7.42
36;494032.369;9023719.602;15.18334607;13.98;4.87
37;494037.28;9023719.767;15.43799338;12.23;5.03
38;494042.945;9023719.83;12.00025465;12.57;2.57
39;494047.737;9023720.045;11.68194551;11.69;6.18
40;494052.612;9023720.077;13.6872931;12.74;5.72
41;494057.519;9023720.811;9.103641457;9.23;4.93
42;494060.525;9023720.122;10.88617265;12.15;6.35
43;494065.671;9023720.293;10.63152534;8.09;5.42
44;494070.777;9023721.017;9.612936084;10.57;6.24
45;494065.166;9023715.931;9.867583397;14.07;8.06
46;494062.549;9023715.691;9.549274255;10.9;5.72
47;494057.404;9023714.966;10.91800357;10.61;4.46
48;494052.531;9023715.159;12.95518207;11.75;6.89
49;494047.606;9023714.937;13.14616756;13.8;5.21
50;494042.486;9023714.686;13.84644767;12.46;7.12
51;494037.058;9023714.397;11.93659282;11.3;7.82
52;494031.637;9023714.766;15.11968424;14.54;4.7
53;494027.143;9023714.455;11.87293099;11.14;6.39
54;494021.684;9023714.801;10.50420168;10.43;5.43
55;494021.612;9023710.326;12.73236567;11.98;6.75
56;494026.836;9023709.951;12.15940922;10.1;6.23
57;494031.847;9023709.609;11.14081996;7.64;6.4
58;494037.041;9023709.393;13.94194041;10.03;5.52
59;494041.889;9023709.25;10.21772345;10.54;5.79
60;494046.815;9023709.525;14.5785587;13.59;7.96
61;494051.337;9023709.848;15.05602241;14.2;8.38
62;494055.939;9023710.098;14.48306595;13.54;9.53
63;494061.161;9023710.646;9.612936084;11.66;6.63
64;494066.194;9023711.021;17.2841864;15.8;5.21
65;494071.326;9023711.234;5.729564553;4.89;2.89
66;494074.454;9023711.093;9.326457856;9.02;4.86
67;494080.6;9023706.507;7.22561752;7.6;5.02
68;494075.779;9023706.428;7.766743061;8.46;4.68
69;494071.072;9023706.197;14.22841864;16.12;6.87
70;494066.326;9023706.22;8.912655971;12.17;7.9
71;494061.239;9023705.81;11.93659282;12.49;6.57
72;494056.333;9023705.384;8.785332315;11.44;5.95
73;494051.367;9023705.249;10.12223071;10.15;3.7
74;494046.516;9023704.879;10.44053985;10.36;2.96
75;494041.702;9023704.725;14.64222052;12.19;
76;494036.485;9023704.396;15.27883881;7.63;4.45
77;494032.015;9023704.463;12.85968933;12.56;7.05
78;494027.633;9023705.061;7.798573975;8.23;4.28
79;494022.928;9023705.435;12.73236567;11.88;4.35
80;494022.325;9023700.828;11.33180545;11.15;6.48
81;494032.178;9023699.515;8.912655971;8.31;4.22
82;494036.668;9023699.412;10.18589254;9.04;4.39
83;494041.617;9023699.693;17.18869366;15.55;5.74
84;494046.36;9023700.021;13.52813853;10.47;6.04
85;494051.707;9023700.198;9.326457856;9.47;4.58
86;494056.142;9023700.636;13.36898396;12.41;6.22
87;494061.131;9023700.28;12.63687293;11.83;5.33
88;494066.157;9023700.974;14.54672778;13.59;6.59
89;494071.63;9023703.136;18.46193023;14.87;6.26
90;494074.7;9023703.828;12.85968933;14.05;6.86
91;494076.471;9023698.65;11.9047619;11.32;4.47
92;494071.61;9023698.207;16.04278075;14.96;10.32
93;494066.892;9023697.379;12.7960275;12.96;5.52
94;494062.156;9023696.76;9.326457856;10.99;4.6
95;494057.103;9023696.947;16.96587726;16.22;6.21
96;494052.77;9023696.108;15.53348612;13.81;6.93
97;494046.742;9023695.518;15.11968424;13.35;5.32
98;494041.839;9023695;11.01349631;10.55;5.8
99;494037.269;9023694.668;9.230965113;8.85;3.7
100;494031.651;9023694.296;8.467023173;8.2;5.79
101;494026.871;9023695.259;7.639419404;7.11;2.91
102;494021.839;9023695.601;4.456327986;4.62;2.55
103;494021.376;9023690.296;9.071810542;9.35;4.82
104;494026.736;9023689.793;6.84364655;8.23;3.48
105;494031.464;9023689.532;4.456327986;4.5;2.77
106;494036.739;9023689.445;11.61828368;11.33;4.69
107;494042.251;9023689.74;14.41940413;12.38;5.46
